경기 일정,지역,비고,시간,3-시간,2-시간,1-시간,0시간,1시간,2시간,누적 강수량
2024-07-26,고척,0,18:30,0,0,0,0,0,0,0
2024-07-27,고척,0,18:00,0,0,0,0,0,0,0
2024-07-28,고척,0,14:00,0,0,0,0,0,0,0
2024-07-30,고척,0,18:30,0,0,0,0,0,0,0
2024-07-31,고척,0,18:30,0,0,0,0,0,0,0
2024-08-01,고척,0,18:30,0,0,0,0,0,0,0
2024-08-06,고척,0,18:30,0,0,0,0,0,0,0
2024-08-07,고척,0,18:30,0,0,0,0,0,0,0
2024-08-08,고척,0,18:30,0,0,0,0,0,0,0
2024-08-13,고척,0,18:30,0,0,0,0,0,0,0
2024-08-14,고척,0,18:30,0,0,0,0,0,0,0
2024-08-15,고척,0,17:00,0,0,0,0,0,0,0
2024-08-23,고척,0,18:30,0,0,0,0,0,0,0
2024-08-24,고척,0,18:00,0,0,0,0,0,0,0
2024-08-25,고척,0,18:00,0,0,0,0,0,0,0
2024-08-27,고척,0,18:30,0,0,0,0,0,0,0
2024-08-28,고척,0,18:30,0,0,0,0,0,0,0
2024-08-29,고척,0,18:30,0,0,0,0,0,0,0
2024-08-30,고척,0,18:30,0,0,0,0,0,0,0
2024-09-10,고척,0,18:30,0,0,0,0,0,0,0
2024-09-17,고척,0,14:00,0,0,0,0,0,0,0
2024-09-24,고척,0,18:30,0,0,0,0,0,0,0
2020-05-05,광주,0,14:00,0,0,0,0,0,0,0
2020-05-06,광주,0,18:30,0,0,0,0,0,0,0
2020-05-07,광주,0,18:30,0,0,0,0,0,0,0
2020-05-15,광주,0,18:30,0.3,0.1,0.1,0.1,0,0,0.6
2020-05-16,광주,0,17:00,0,0,0,0,0,0,0
2020-05-17,광주,0,14:00,0,0,0,0,0,0,0
2020-05-19,광주,0,18:30,0,0,0,0,0,0,0
2020-05-20,광주,0,18:30,0,0,0,0,0,0,0
2020-05-21,광주,0,18:30,0,0,0,0,0,0,0
2020-05-22,광주,0,18:30,0,0,0,0,0,0,0
2020-05-23,광주,0,17:00,0,0,0,0,0,0,0
2020-05-24,광주,0,14:00,0,0,0,0.1,0,0,0.1
2020-05-29,광주,0,18:30,0,0,0,0,0,0,0
2020-05-30,광주,0,14:00,0,0,0,0,0,0,0
2020-05-31,광주,0,14:00,0,0,0,0,0,0,0
2020-06-02,광주,0,18:30,0,0,0,0,0,0,0
2020-06-03,광주,0,18:30,0,0,0,0,0,0,0
2020-06-04,광주,0,18:30,0,0,0,0,0,0,0
2020-06-16,광주,0,18:30,0,0,0,0,0,0,0
2020-06-17,광주,0,18:30,0,0,0,0,0,0,0
2020-06-18,광주,1,18:30,0.8,1,1.1,1.7,1.7,0.6,4.6
2020-06-19,광주,0,18:30,0,0,0,0,0,0,0
2020-06-20,광주,0,17:00,0,0,0,0,0,0,0
2020-06-21,광주,0,17:00,0,0,0,0,0,0,0
2020-06-30,광주,1,18:30,0,0,0,0.4,0.4,0.1,0.9
2020-07-01,광주,0,18:30,0,0,0,0,0,0,0
2020-07-02,광주,0,18:30,0,0,0,0,0,0,0
2020-07-07,광주,0,18:30,0,0,0,0,0,0,0
2020-07-08,광주,0,18:30,0,0,0,0,0,0,0
2020-07-09,광주,0,18:30,0,0,0,0,0,0,0
2020-07-10,광주,0,18:30,0,0,0,0,0,0,0
2020-07-11,광주,0,18:00,0,0,0,0,0,0,0
2020-07-12,광주,1,17:00,2.7,2.8,8,6.5,1.8,5.7,20
2020-07-13,광주,0,18:30,0,0,0,0,0,0,0
2020-07-17,광주,0,18:30,0,0,0,0,0,0,0
2020-07-18,광주,0,18:00,0,0,0,0,0,0,0
2020-07-19,광주,0,17:00,0,0,0,0,0,0,0
2020-07-24,광주,1,18:30,0,0,0,0,0,0,0
2020-07-25,광주,0,18:00,0,0,0,0,0,0,0
2020-07-26,광주,0,17:00,0,0,0,0,0,0,0
2020-07-28,광주,1,18:30,21.1,0,0,0,0,14.5,21.1
2020-07-29,광주,1,18:30,6,3.1,1.2,0.1,0,0,10.4
2020-07-30,광주,0,18:30,0,0,0,0,0,0,0
2020-08-04,광주,0,18:30,0,0,0,0,0,0,0
2020-08-05,광주,0,18:30,0,0,0,0,0,0,0
2020-08-06,광주,0,18:30,0,0,0,0,0,0,0
2020-08-07,광주,1,18:30,26.2,48.4,27.8,11,6.7,0.4,113.4
2020-08-08,광주,0,18:00,0,0.1,0,0.1,,0,0.2
2020-08-09,광주,0,17:00,0,0,0,0,0,0,0
2020-08-14,광주,0,18:30,0,0,0,0,0,0,0
2020-08-15,광주,0,17:00,0,0,0,0,0,0,0
